10th marks,12th marks,Cgpa,Internships(Y/N),Training(Y/N),Innovative Project(Y/N),Communication level,Technical Course(Y/N),Package_Category,Technical_Skills_Score
96.7,70.2,7.37,0,1,0,3,1,1,4.0
96.2,90.6,9.35,0,0,1,4,0,1,7.0
97.5,69.6,7.84,0,1,1,3,1,3,62.5
96.9,77.6,7.87,1,0,1,2,1,1,10.0
99.1,62.8,9.26,1,1,1,1,1,1,0.0
85.5,86.0,9.2,1,0,1,2,1,1,10.5
98.2,83.4,8.83,1,1,1,2,1,1,17.0
79.4,82.1,7.52,1,0,1,3,1,2,85.0
88.0,83.2,7.06,0,0,1,3,1,3,70.0
84.3,70.9,7.34,0,0,0,3,1,1,29.0
84.1,67.9,7.12,0,0,0,1,0,1,14.5
97.8,95.0,8.87,1,1,1,4,1,1,5.0
83.0,79.8,7.13,1,0,0,4,1,1,23.0
78.5,62.0,7.18,1,1,1,1,1,3,61.5
95.9,73.2,9.14,1,1,1,1,1,1,19.5
75.0,68.9,7.58,0,0,1,4,1,3,65.0
89.8,88.6,7.66,1,1,1,5,1,2,87.5
93.6,87.6,8.92,1,0,0,3,0,1,11.0
87.4,80.2,7.17,1,1,0,4,1,1,4.5
96.3,78.0,7.51,0,1,1,1,1,3,45.5
82.4,77.3,8.97,0,1,1,2,1,3,60.0
87.6,88.9,8.79,0,0,0,4,1,1,25.5
76.9,68.2,8.1,1,1,1,5,1,2,76.0
72.8,87.2,7.08,0,0,0,4,1,1,28.0
98.2,68.1,7.79,0,1,1,1,1,3,61.5
89.3,71.2,7.78,1,1,1,1,1,2,92.0
90.2,77.2,7.22,0,0,1,1,1,0,23.0
77.9,80.1,8.84,1,1,0,4,1,1,6.0
98.5,84.2,9.37,1,0,1,4,1,1,5.0
72.2,93.7,8.98,1,1,0,5,0,1,14.5
93.4,92.2,8.85,1,0,1,4,1,2,95.5
85.6,86.4,7.8,1,1,1,4,0,1,11.0
94.6,79.6,9.26,1,0,1,3,1,2,92.0
79.6,74.1,7.01,0,1,1,5,1,2,87.5
73.8,73.4,8.87,0,1,1,5,0,1,6.5
77.8,94.3,9.0,1,1,0,4,0,1,10.0
77.6,80.9,7.74,0,0,1,3,1,3,66.5
71.0,67.1,8.48,1,1,1,3,1,2,57.5
94.1,66.4,7.05,0,1,1,2,1,1,4.0
72.1,70.2,7.16,0,0,1,2,1,3,83.0
82.6,67.3,7.95,1,1,1,3,1,2,66.5
71.9,67.4,7.88,0,0,1,1,1,0,33.5
80.5,74.2,8.86,1,1,1,2,1,1,8.0
87.2,80.4,7.65,1,1,0,4,1,1,8.0
70.3,79.0,9.34,1,1,1,2,1,1,4.0
75.2,82.5,8.52,0,0,0,5,0,1,5.0
78.9,91.2,8.65,0,1,1,1,1,3,45.5
86.3,62.6,7.1,0,1,1,1,1,0,26.0
96.9,89.8,7.09,1,1,1,3,1,1,2.0
75.9,85.4,7.64,0,1,1,4,1,1,24.0
99.6,81.7,8.57,1,0,0,3,0,1,2.0
95.0,92.5,7.69,1,1,0,5,1,1,12.5
72.0,65.1,7.57,0,1,1,1,0,1,10.5
88.6,73.2,9.23,1,1,1,3,1,2,80.0
80.7,76.1,9.51,1,0,1,1,1,1,6.5
95.0,90.0,8.15,1,0,1,4,1,1,6.0
92.0,67.4,9.35,0,1,1,2,1,2,91.0
84.4,87.6,8.58,1,0,1,3,1,2,95.5
86.6,84.4,7.13,0,0,1,3,1,3,50.5
96.4,97.0,8.91,0,1,0,3,1,1,21.0
76.1,60.4,8.94,1,0,1,1,1,3,68.5
75.6,93.8,8.99,1,0,1,4,1,2,90.5
99.9,86.9,7.6,0,1,1,4,1,3,58.5
75.0,48.0,5.75,0,0,0,3,1,1,6.5
79.6,61.7,7.92,0,1,1,4,1,1,12.0
91.1,74.2,8.37,0,0,1,2,1,0,38.0
86.4,85.1,9.56,0,0,1,3,1,1,12.5
70.4,87.2,9.35,0,0,1,1,1,3,37.5
86.7,93.0,7.45,1,1,1,1,1,2,80.0
72.2,74.8,8.02,1,1,1,2,1,2,79.5
75.0,68.0,8.2,1,0,1,4,1,3,71.5
95.0,86.4,9.46,1,1,1,3,1,1,25.5
88.1,60.2,8.61,0,0,1,2,1,3,56.5
94.3,72.3,8.53,0,1,1,2,1,3,38.0
85.0,87.0,9.3,0,1,1,3,1,2,82.5
82.8,87.2,8.49,0,1,0,4,1,1,15.0
64.0,68.0,7.5,0,1,1,4,1,2,91.0
94.0,87.2,9.31,1,0,1,5,1,2,95.5
71.8,93.3,9.01,1,0,0,2,0,1,17.0
76.0,60.3,7.84,0,0,1,1,1,1,6.5
72.2,77.0,8.27,1,1,1,3,1,1,4.5
96.5,86.8,9.29,0,1,1,3,1,2,76.5
86.9,87.4,9.02,0,1,1,4,0,1,4.5
82.4,88.6,9.26,1,0,0,1,0,1,19.0
74.9,81.5,7.32,1,0,1,5,1,2,78.5
75.0,81.1,8.84,1,0,0,2,1,1,9.0
87.4,81.6,7.03,0,1,1,2,1,1,33.5
73.9,63.9,7.92,1,0,1,4,1,3,71.5
82.1,72.1,8.11,1,0,1,4,1,2,84.5
70.1,74.7,8.46,1,1,0,1,0,1,6.0
82.7,92.2,9.38,1,0,1,2,1,2,73.0
81.9,84.5,8.34,1,1,0,1,0,1,19.0
88.7,65.9,7.15,0,0,1,5,0,1,18.5
93.5,69.8,8.8,1,0,1,3,1,1,8.5
98.9,94.1,9.3,1,0,0,5,1,1,19.0
77.4,67.1,8.95,0,1,0,5,1,1,7.0
94.6,88.3,7.44,1,0,1,1,1,3,44.5
82.3,65.9,7.78,0,1,1,4,1,2,44.5
85.6,68.2,9.2,1,1,0,4,1,1,23.0
88.2,71.5,9.1,1,1,1,5,1,2,64.5
96.8,94.9,7.82,1,0,0,2,1,1,15.0
86.7,63.9,7.29,1,1,1,2,0,1,29.5
72.6,91.6,8.84,1,1,0,2,1,1,7.0
94.7,87.3,7.67,1,0,0,2,0,1,5.0
99.6,94.0,7.18,0,1,1,5,0,1,12.5
81.4,68.1,7.57,1,1,1,2,0,1,8.5
77.7,79.2,7.15,0,0,0,5,1,1,17.0
80.2,91.8,8.97,1,0,1,5,1,2,71.5
89.6,78.0,8.57,1,1,1,1,1,2,93.5
71.4,92.3,7.42,0,0,1,4,1,1,2.0
87.0,75.0,9.47,1,1,1,3,0,1,12.5
84.7,84.4,7.25,0,1,0,1,0,1,8.0
72.0,64.4,8.33,1,1,1,5,1,2,71.0
74.8,83.9,9.17,1,1,1,2,1,2,85.0
70.0,78.0,8.9,1,0,1,2,1,2,92.0
75.9,85.2,8.43,0,1,1,1,1,2,76.5
72.4,67.6,8.12,0,0,1,4,1,2,82.5
96.2,60.1,7.49,0,1,1,1,1,3,66.0
93.0,92.0,90.0,1,0,0,3,1,1,6.5
70.0,94.8,9.48,1,0,1,5,1,2,72.5
75.6,68.9,8.95,0,0,1,3,0,1,7.0
60.0,69.0,9.0,0,0,0,3,0,0,30.0
85.3,72.8,8.85,1,1,1,2,1,3,49.5
89.2,82.7,9.37,1,0,1,1,1,2,94.0
94.9,84.7,8.59,0,0,1,3,0,1,8.0
87.0,87.8,8.15,1,0,1,4,1,1,17.0
98.7,60.9,7.19,1,0,1,4,0,1,19.0
84.6,79.1,9.44,0,0,1,1,1,3,47.0
80.4,65.6,7.97,0,0,1,4,1,3,62.0
80.3,74.9,9.12,1,0,1,4,1,1,12.0
95.4,65.8,7.42,0,1,1,4,1,1,4.0
87.5,78.9,8.46,0,0,0,4,1,1,9.0
91.8,89.5,8.47,1,0,1,2,1,2,87.0
95.4,93.0,8.58,0,1,1,2,1,3,60.5
96.4,83.0,7.17,1,0,1,1,1,3,45.5
79.6,87.4,8.54,0,1,1,1,1,1,18.5
100.0,93.1,8.34,0,0,1,4,1,3,59.0
70.5,82.9,9.32,1,1,1,2,1,2,86.5
